Stimulus,Pearson R,p
Mean,0.9999916198987966,0.0
A,0.9999991871966621,5.489031750448879e-71
B,0.9999638585273173,3.2784023092490115e-51
C,0.9999996542121039,1.9292498641507865e-75
D,0.9999982632843102,4.970644441072561e-67
E,0.9999982841282982,4.300171273834338e-67
F,0.9999974104547381,6.0027210275245934e-65
G,0.9999991517029749,9.167380365676251e-71
H,0.9999901801583281,5.3076706889682e-58
I,0.9999922145903399,3.2736501381844433e-59
J,0.9999932705247724,5.694181963088728e-60
K,0.9999997556665882,2.9885847002651427e-77
L,0.9999994157852147,1.0436167307712075e-72
M,0.9999991845000609,5.71159219547647e-71
N,0.9999991252447932,1.3252820017367585e-70
O,0.9999463915811014,3.7183440791598476e-49
P,0.9999998021052973,2.3816689085437647e-78
Q,0.9999930394596521,8.53830983162024e-60
R,0.9999955623161141,3.8506882424622097e-62
S,0.9999964112576438,3.0128065514645275e-63
T,0.9999982611597077,5.044107121416758e-67
U,0.9999993060071611,8.240055428664621e-72
V,0.9999989334885024,1.429736298627532e-69
W,0.9999970230363588,3.198509137782915e-64
X,0.9999996568414469,1.7603903278145952e-75
Y,0.9999994310767899,7.591268660867083e-73
Z,0.9999998148900079,1.0686358353032667e-78
