Stimulus,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
A,0.6305906772613525,0.005995921324938536,0.002055669669061899,0.002075290074571967,0.004052839241921902,0.00806154403835535,0.006062784232199192,0.02021603472530842,0.016051774844527245,0.04006149247288704,0.05222597345709801,0.013025408610701561,0.005092448089271784,0.02752714417874813,0.006099730264395475,0.007118435576558113,0.004081010818481445,0.06529191881418228,0.010965507477521896,0.0050665233284235,0.0010585241252556443,0.0040480224415659904,0.008050834760069847,0.0240324754267931,0.007079354487359524,0.02401265874505043
B,0.018118752166628838,0.38833120465278625,0.0072358036413788795,0.05299151688814163,0.013041982427239418,0.002256670966744423,0.14912039041519165,0.015115523710846901,0.0010840080212801695,0.01005213987082243,0.0070063285529613495,0.0020598885603249073,0.002256229752674699,0.010284154675900936,0.03683481365442276,0.012952899560332298,0.06368711590766907,0.09433209896087646,0.08655543625354767,0.0021415110677480698,0.009215685538947582,0.0020391936413943768,0.00709399813786149,9.509469236945733e-05,0.0020964709110558033,0.004001090303063393
C,0.001974920742213726,0.0021057683043181896,0.7124094367027283,0.00602335762232542,0.049207307398319244,0.014133173041045666,0.10147559642791748,0.0010453729191794991,0.00598820298910141,0.0020135981030762196,0.0029841498471796513,0.01787741668522358,6.400558959285263e-06,0.002982399193570018,0.01718226447701454,0.007117113098502159,0.013189793564379215,0.011154788546264172,0.0072343614883720875,0.008957675658166409,0.002995035145431757,0.0029793453868478537,1.588831037224736e-05,0.0009843165753409266,0.0020152104552835226,0.0059470729902386665
D,0.003972046077251434,0.03527095913887024,0.006216299254447222,0.6784709095954895,0.003955090884119272,0.003004298312589526,0.010559509508311749,0.00301354075782001,0.0019905264489352703,0.04272342100739479,0.001985923619940877,0.001991805387660861,0.0019749212078750134,0.007913206703960896,0.042791977524757385,0.05967281758785248,0.02348952181637287,0.01804126240313053,0.014070595614612103,0.0029741679318249226,0.016051702201366425,0.0019906770903617144,0.003996170125901699,0.000987415318377316,0.00595122342929244,0.006940024439245462
E,0.004064037464559078,0.04188959673047066,0.022240644320845604,0.005983695853501558,0.3492351174354553,0.18304245173931122,0.03392883390188217,0.021055564284324646,0.038021285086870193,0.00803898274898529,0.019926361739635468,0.029042961075901985,0.002022263826802373,0.016125770285725594,0.006936610210686922,0.05513801425695419,0.007917996495962143,0.06733690947294235,0.023006854578852654,0.03203333914279938,0.006966773420572281,0.004026463720947504,0.0020337472669780254,0.002986736362800002,0.009974540211260319,0.00702446885406971
F,0.01104685477912426,0.010066203773021698,0.010975426062941551,0.002065067645162344,0.05693322792649269,0.36532431840896606,0.013016902841627598,0.03201692923903465,0.05226640775799751,0.018174229189753532,0.021046685054898262,0.018012600019574165,0.008047176524996758,0.017044855281710625,0.0030649597756564617,0.1849869042634964,0.002045640954747796,0.06907393038272858,0.007111561018973589,0.05016537755727768,0.008056932128965855,0.0040643890388309956,0.0070090643130242825,0.002076641656458378,0.013190856203436852,0.013116883113980293
G,0.006982165388762951,0.02924119494855404,0.04993320629000664,0.018028046935796738,0.017918169498443604,0.0020709047093987465,0.597627580165863,0.008944435976445675,0.0020132341887801886,0.004041482228785753,0.0010485548991709948,0.004012309014797211,0.0009956014109775424,0.008960363455116749,0.05145518481731415,0.009039545431733131,0.10306505858898163,0.03421865031123161,0.023326072841882706,0.006960471160709858,0.013005107641220093,0.002993775764480233,0.0020240945741534233,1.661009810050018e-05,4.639772305381484e-05,0.0020318645983934402
H,0.014827340841293335,0.018601594492793083,0.002073307055979967,0.009962365962564945,0.006986232008785009,0.010946790687739849,0.00819462165236473,0.4107569456100464,0.03448786213994026,0.0315558984875679,0.015248526819050312,0.012854312546551228,0.10182388126850128,0.10766247659921646,0.007098418660461903,0.012091913260519505,0.006127865053713322,0.0669403001666069,0.004242220893502235,0.022962594404816628,0.01840132288634777,0.006086669862270355,0.05176333710551262,0.0022269045002758503,0.013078887946903706,0.002997409785166383
I,0.002079012803733349,0.0030522653833031654,0.011011418886482716,0.0019901555497199297,0.015176985412836075,0.025368155911564827,0.0020903029944747686,0.008193066343665123,0.6029117703437805,0.08288759738206863,0.004155777860432863,0.06886298209428787,0.002043608110398054,0.0031378401909023523,0.001978321699425578,0.007195847574621439,0.0010182418627664447,0.0042052194476127625,0.0069957454688847065,0.09382378309965134,0.006155992392450571,0.004062310326844454,0.001146035036072135,0.004095124080777168,0.016221702098846436,0.02014078013598919
J,0.007958228699862957,0.003990330267697573,0.0030272589065134525,0.005025969352573156,0.00208982452750206,0.007092386018484831,0.0039587500505149364,0.02583165466785431,0.07999338954687119,0.6447196006774902,0.011907770298421383,0.024148739874362946,0.0049540637992322445,0.012896186672151089,0.003950041718780994,0.0069345892407000065,0.001972897443920374,0.006961521226912737,0.006021005101501942,0.021258331835269928,0.045499905943870544,0.012923589907586575,0.014835389330983162,0.006014349404722452,0.01801300048828125,0.018021196126937866
