Stimulus,Pearson R,p
Mean,0.9981356473225431,0.0
A,0.9995198058593828,9.89954400960647e-38
B,0.9979579550428521,3.4351912762322244e-30
C,0.9996769347003165,8.520070363928543e-40
D,0.9991229496083753,1.3615456189171794e-34
E,0.9971747905542859,1.6828543119229922e-28
F,0.9990362536791723,4.217928388967605e-34
G,0.998120446318653,1.2711087862480127e-30
H,0.9949255648745012,1.8755273089683249e-25
I,0.9985124491053635,7.6922407062121e-32
J,0.9985889558172325,4.083635870411086e-32
K,0.9981679350004888,9.352360491159525e-31
L,0.9992494406503311,2.10202125413269e-35
M,0.9961674697582175,6.501919316322637e-27
N,0.998946906358933,1.2216680126374706e-33
O,0.9966385304283484,1.3508432537930993e-27
P,0.9997988461081789,2.894473171161811e-42
Q,0.9972640407066202,1.1453845652492728e-28
R,0.9977651866354135,1.0130643352608723e-29
S,0.9973301470521304,8.543381022845639e-29
T,0.9995566211451652,3.8018399600468023e-38
U,0.9994945011873321,1.8331533035133395e-37
V,0.9986074487364918,3.486059198606744e-32
W,0.9949861484181727,1.624285985493247e-25
X,0.9996612719315894,1.5036235233452403e-39
Y,0.9990173658345467,5.32362019178451e-34
Z,0.9998269851009575,4.74561330209732e-43
