Stimulus,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
A,0.610811710357666,0.006671523675322533,0.006307733245193958,0.0022238423116505146,0.006347060669213533,0.007480112370103598,0.01158847939223051,0.01638643816113472,0.020750617608428,0.040057629346847534,0.04863821715116501,0.010228789411485195,0.007605318445712328,0.025054428726434708,0.008247394114732742,0.010687601752579212,0.012348691001534462,0.057804666459560394,0.016142243519425392,0.012328879907727242,0.003921058028936386,0.001974815968424082,0.004756095353513956,0.018803201615810394,0.011520748026669025,0.021312711760401726
B,0.013773256912827492,0.3413419723510742,0.011284563690423965,0.060199838131666183,0.014855291694402695,0.009326845407485962,0.13369722664356232,0.013476992025971413,0.006638288032263517,0.014601800590753555,0.009747914038598537,0.005436751060187817,0.006334890145808458,0.014490410685539246,0.03537749871611595,0.030465612187981606,0.05953385308384895,0.0916433110833168,0.08032681047916412,0.0038453363813459873,0.012001260183751583,0.003283911384642124,0.007256245706230402,0.003496764227747917,0.009578346274793148,0.007984999567270279
C,0.005331988446414471,0.007473943289369345,0.6659393310546875,0.0040896497666835785,0.0522598922252655,0.01713014766573906,0.11037682741880417,0.0036633494310081005,0.0067242588847875595,0.003903344040736556,0.0050865947268903255,0.014935309998691082,0.002463174518197775,0.0032434221357107162,0.019368935376405716,0.006779617164283991,0.015608064830303192,0.011233074590563774,0.008122069761157036,0.009361683391034603,0.005435590166598558,0.00556853786110878,0.0022804688196629286,0.0035357745364308357,0.0025723902508616447,0.007512551732361317
D,0.0025780266150832176,0.04004213958978653,0.014807307161390781,0.6376574039459229,0.0038900491781532764,0.003437129082158208,0.025172024965286255,0.004681461490690708,0.0034013791009783745,0.03564447909593582,0.0023871161974966526,0.002351325238123536,0.0013620550744235516,0.01112520694732666,0.05748363584280014,0.05591140314936638,0.02779359370470047,0.02080054022371769,0.015569216571748257,0.002635718323290348,0.014740606769919395,0.001424770220182836,0.003173406235873699,0.0008766434621065855,0.005496278405189514,0.00555708073079586
E,0.00845876894891262,0.03241882473230362,0.038051534444093704,0.004854194819927216,0.329052597284317,0.17338882386684418,0.03447579964995384,0.014347365126013756,0.03052918240427971,0.018834423273801804,0.027812350541353226,0.032428011298179626,0.002647748915478587,0.012731642462313175,0.008238334208726883,0.05206829681992531,0.008232653141021729,0.06806524842977524,0.01901744119822979,0.030200814828276634,0.011007160879671574,0.007064651232212782,0.00608976511284709,0.005714000202715397,0.01278366707265377,0.011486758477985859
F,0.01608971692621708,0.010914288461208344,0.01273634284734726,0.004298542160540819,0.06198730692267418,0.3511524498462677,0.012698715552687645,0.028662998229265213,0.04711266607046127,0.020559009164571762,0.018686244264245033,0.014725586399435997,0.005767209455370903,0.016384314745664597,0.0068641831167042255,0.18659360706806183,0.0031161264050751925,0.07357756793498993,0.007616647053509951,0.04978923127055168,0.01240269374102354,0.004193542059510946,0.004704692866653204,0.005396725609898567,0.011319014243781567,0.012650569900870323
G,0.00881973933428526,0.026535291224718094,0.07375625520944595,0.01807575114071369,0.017206458374857903,0.004416950978338718,0.5445059537887573,0.0044966042041778564,0.0038759754970669746,0.006749723572283983,0.004742568824440241,0.006366707384586334,0.001729857875034213,0.004795094486325979,0.06334958970546722,0.008123076520860195,0.09605908393859863,0.03237226977944374,0.03304693102836609,0.006810256280004978,0.012911340221762657,0.005243704188615084,0.0044419486075639725,0.0023504383862018585,0.00250143907032907,0.006716971285641193
H,0.01568760722875595,0.01727386750280857,0.0029363275971263647,0.007973434403538704,0.005789701361209154,0.009139575064182281,0.008224444463849068,0.3603065311908722,0.02360803633928299,0.02887389436364174,0.028327958658337593,0.01368869747966528,0.11573441326618195,0.10528525710105896,0.006912722252309322,0.012793018482625484,0.010430634021759033,0.07790957391262054,0.009393288753926754,0.021271416917443275,0.02619391679763794,0.005148688331246376,0.049937162548303604,0.011156948283314705,0.017320765182375908,0.008682144805788994
I,0.006624837871640921,0.00510160019621253,0.0071071782149374485,0.003730222349986434,0.01616840809583664,0.022998766973614693,0.0032749557867646217,0.015706410631537437,0.5418307185173035,0.10014829784631729,0.008890561759471893,0.07219286262989044,0.004792975261807442,0.008150093257427216,0.003612585598602891,0.009037832729518414,0.0031702483538538218,0.011025920510292053,0.005310585722327232,0.0864512026309967,0.012569637969136238,0.00929255411028862,0.001982336863875389,0.0072278911247849464,0.01970934309065342,0.01389197539538145
J,0.009665731340646744,0.0033156718127429485,0.004524795338511467,0.011489295400679111,0.009470139630138874,0.00949392095208168,0.003867611987516284,0.019473513588309288,0.09487145394086838,0.597402811050415,0.009356540627777576,0.03203544020652771,0.006298029329627752,0.01575329899787903,0.0052369581535458565,0.0064422027207911015,0.004313225392252207,0.011055300012230873,0.0066406442783772945,0.02939085103571415,0.03237716853618622,0.00845163594931364,0.01517938356846571,0.006251651793718338,0.020073462277650833,0.027569284662604332
