Stimulus,Pearson R,p
Mean,0.9914828696047537,0.0
A,0.9992684370815577,1.5455346107178097e-35
B,0.9742775031910005,4.857306575220146e-17
C,0.9989933709571894,7.1102568404960485e-34
D,0.9942211492288349,8.892254326297573e-25
E,0.9881268279669676,4.87782636420042e-21
F,0.9970347712794343,3.0048859022581833e-28
G,0.9958393647372153,1.739424359229433e-26
H,0.9888466091034296,2.3115499840138785e-21
I,0.9858654038034448,3.906714070193249e-20
J,0.9923686053516511,2.4777901438164646e-23
K,0.9935622215897284,3.2380957801755636e-24
L,0.9982318207183577,6.110647681161532e-31
M,0.9925246513500952,1.9352638873475652e-23
N,0.9967870704053463,7.859541903834579e-28
O,0.9838560683253188,1.9057365262291715e-19
P,0.9990774627648906,2.4971472443878897e-34
Q,0.9924394188326651,2.2163399602986115e-23
R,0.9900752099828652,5.733205291157757e-22
S,0.9946525434588623,3.512649022152885e-25
T,0.9944488222049271,5.495902190179967e-25
U,0.998823410720322,4.6192932980717115e-33
V,0.9931670975903043,6.6045966652306585e-24
W,0.9846554317778834,1.0403556154186784e-19
X,0.998730598143397,1.1483167357707372e-32
Y,0.994682515344222,3.284042548279782e-25
Z,0.9992692251461716,1.5256798297919843e-35
