Stimulus,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
A,0.5540820956230164,0.009614714421331882,0.006101321429014206,0.005232624243944883,0.0070638507604599,0.009953347966074944,0.016979016363620758,0.02348623424768448,0.020009538158774376,0.04366298019886017,0.049352340400218964,0.01928679645061493,0.005007566884160042,0.026883447542786598,0.008717215619981289,0.013491235673427582,0.008029129356145859,0.07570649683475494,0.01692771166563034,0.008666890673339367,0.002709336346015334,0.002070568036288023,0.0055777509696781635,0.02469571866095066,0.011582987383008003,0.025109032168984413
B,0.019056716933846474,0.25864285230636597,0.013952754437923431,0.08102931082248688,0.021948622539639473,0.01820935308933258,0.10099027305841446,0.02474893070757389,0.011424151249229908,0.01973593793809414,0.013011032715439796,0.007902639918029308,0.009833917021751404,0.023215703666210175,0.040392450988292694,0.04373771324753761,0.05010298639535904,0.10810612142086029,0.06955204159021378,0.010669482871890068,0.020903805270791054,0.004260496702045202,0.01076081395149231,0.005960433278232813,0.005656233988702297,0.0061952415853738785
C,0.0038728308863937855,0.003948901779949665,0.6140403151512146,0.007094213273376226,0.060333289206027985,0.027067793533205986,0.10699553042650223,0.004166990984231234,0.010625566355884075,0.0033760475926101208,0.008563362993299961,0.020193003118038177,0.0013999042566865683,0.002643651096150279,0.024211013689637184,0.01510377787053585,0.0204660315066576,0.015824420377612114,0.009963702410459518,0.012285923585295677,0.004150174092501402,0.002412346890196204,0.001242410158738494,0.0018973133992403746,0.006034184247255325,0.01208724919706583
D,0.006774870678782463,0.06154368072748184,0.014894654974341393,0.5303482413291931,0.006323127541691065,0.006997616030275822,0.04433209076523781,0.0059471288695931435,0.007945099845528603,0.03458346053957939,0.0028644229751080275,0.005356429144740105,0.002308763563632965,0.009062401950359344,0.06592454761266708,0.051405828446149826,0.03633307293057442,0.030018022283911705,0.02603866346180439,0.005826630629599094,0.026551447808742523,0.00317916227504611,0.006100907921791077,0.0012708907015621662,0.002870087744668126,0.005198773927986622
E,0.007540388498455286,0.03839412331581116,0.05371392145752907,0.005686590913683176,0.2732009291648865,0.1492965668439865,0.056221067905426025,0.017428245395421982,0.04293430224061012,0.010993988253176212,0.0329231433570385,0.03236694633960724,0.003430289914831519,0.014771874062716961,0.010992658324539661,0.043805841356515884,0.0131145054474473,0.06964404881000519,0.0279547069221735,0.035112153738737106,0.008949230425059795,0.006035445723682642,0.004931680392473936,0.009653162211179733,0.011958629824221134,0.01894558034837246
F,0.010067536495625973,0.017397765070199966,0.01627500168979168,0.007013202179223299,0.06391983479261398,0.32295432686805725,0.018971264362335205,0.027556970715522766,0.05852264165878296,0.02595965377986431,0.016559788957238197,0.0120860505849123,0.006502432748675346,0.011414499022066593,0.006715148221701384,0.1777714341878891,0.004716833122074604,0.0609293095767498,0.012077718041837215,0.0541917085647583,0.01342659443616867,0.007361460942775011,0.005098176654428244,0.006115359254181385,0.018616842105984688,0.017778418958187103
G,0.009962454438209534,0.033079225569963455,0.07418932020664215,0.025665078312158585,0.02173435501754284,0.0059685250744223595,0.5054119229316711,0.006581329740583897,0.0039489250630140305,0.006149580702185631,0.004585881717503071,0.006408198270946741,0.0013087281258776784,0.006991326808929443,0.07603532820940018,0.0117592578753829,0.10442282259464264,0.03696447238326073,0.03146786242723465,0.0032969797030091286,0.012620770372450352,0.002250295365229249,0.002927693072706461,0.0012322933180257678,0.00167815200984478,0.003359232796356082
H,0.019204629585146904,0.020990872755646706,0.003860112512484193,0.00568401487544179,0.006051617208868265,0.012929321266710758,0.010588979348540306,0.3288387656211853,0.029375793412327766,0.026658324524760246,0.04175290837883949,0.012101216241717339,0.11657366156578064,0.1002454161643982,0.006733998656272888,0.020653223618865013,0.007102296222001314,0.07672069221735,0.009224779903888702,0.019654089584946632,0.016706274822354317,0.00640092184767127,0.04889000207185745,0.024228407070040703,0.020912395790219307,0.007917312905192375
I,0.010930053889751434,0.010707708075642586,0.01276255864650011,0.010868921875953674,0.019687626510858536,0.030962318181991577,0.011734424158930779,0.01882586069405079,0.40310779213905334,0.12810324132442474,0.012948316521942616,0.06723962724208832,0.00559959327802062,0.012250381521880627,0.008243679068982601,0.020343424752354622,0.005463619250804186,0.016590163111686707,0.011051065288484097,0.0731847882270813,0.021326148882508278,0.013011236675083637,0.007761750370264053,0.014873606152832508,0.028792446479201317,0.023629657924175262
J,0.01661279797554016,0.004829057026654482,0.0035484526306390762,0.008385069668293,0.006504576653242111,0.013499860651791096,0.00626217620447278,0.01956263929605484,0.12912499904632568,0.5459526181221008,0.00965027790516615,0.027473678812384605,0.005136481951922178,0.00900100264698267,0.0047659133560955524,0.010991444811224937,0.0028489958494901657,0.009070065803825855,0.006809053011238575,0.03125705569982529,0.0339730903506279,0.010252069681882858,0.01158176176249981,0.010003003291785717,0.022744176909327507,0.040159668773412704
K,0.009238545782864094,0.00815811101347208,0.01050551701337099,0.00217303354293108,0.018998440355062485,0.028295475989580154,0.011752384714782238,0.02420010045170784,0.023909179493784904,0.012261614203453064,0.30525290966033936,0.020565848797559738,0.015051934868097305,0.034900467842817307,0.0033056458923965693,0.01989201083779335,0.00426503038033843,0.06446568667888641,0.009174642153084278,0.0248443353921175,0.008337371051311493,0.025377312675118446,0.020894864574074745,0.15190574526786804,0.09891984611749649,0.04335393011569977
L,0.013897821307182312,0.008263910189270973,0.018109727650880814,0.004972095135599375,0.020127642899751663,0.0066865598782896996,0.0170443058013916,0.01811808906495571,0.15639464557170868,0.05385958403348923,0.017638560384511948,0.47801464796066284,0.003486352041363716,0.012393377721309662,0.007504647132009268,0.005996461026370525,0.0078999949619174,0.013296065852046013,0.011364433914422989,0.040059782564640045,0.024098467081785202,0.011508271098136902,0.012820006348192692,0.007226960267871618,0.013332609087228775,0.01588498242199421
M,0.013619557954370975,0.014157010242342949,0.005450230557471514,0.005887768696993589,0.006119925528764725,0.00942830927670002,0.010461434721946716,0.14508303999900818,0.00991736724972725,0.01607797108590603,0.05511391535401344,0.006884974427521229,0.34712985157966614,0.08737511932849884,0.007536053191870451,0.018594952300190926,0.007031290791928768,0.07389827072620392,0.009216444566845894,0.019882768392562866,0.021734679117798805,0.008077866397798061,0.04550420120358467,0.029639171436429024,0.022185206413269043,0.003992619924247265
N,0.01793365366756916,0.015917807817459106,0.0044860318303108215,0.010377629660069942,0.006919782143086195,0.007488089147955179,0.011918531730771065,0.03777078911662102,0.01061522401869297,0.012449339963495731,0.0995461493730545,0.011131555773317814,0.04652813822031021,0.39092013239860535,0.005213094875216484,0.012199175544083118,0.006709221750497818,0.10540937632322311,0.017946166917681694,0.012736714445054531,0.012226241640746593,0.016722284257411957,0.027547895908355713,0.060716159641742706,0.03331565111875534,0.005255159456282854
O,0.007089646533131599,0.031919751316308975,0.08809280395507812,0.12281638383865356,0.00728457048535347,0.0065568857826292515,0.1623900681734085,0.00431824941188097,0.006131981033831835,0.014093316160142422,0.002635564422234893,0.005345653742551804,0.0019487428944557905,0.00610289815813303,0.2946486473083496,0.025296229869127274,0.12982365489006042,0.0214042030274868,0.02802281640470028,0.0039644986391067505,0.015311772003769875,0.0024102767929434776,0.003718505846336484,0.0011020026868209243,0.002750237938016653,0.004820655100047588
