Stimulus,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
A,0.5765631794929504,0.009972764179110527,0.005889139603823423,0.00405458826571703,0.006302721332758665,0.01007291954010725,0.013111792504787445,0.0231898445636034,0.018600763753056526,0.037382304668426514,0.05155178904533386,0.01411125436425209,0.006604082882404327,0.025627782568335533,0.008296734653413296,0.013422167859971523,0.007043106481432915,0.07208306342363358,0.014643092639744282,0.00784796942025423,0.0018624113872647285,0.003466925583779812,0.007094286847859621,0.02750820852816105,0.010089135728776455,0.023607954382896423
B,0.018360989168286324,0.3073749244213104,0.014181099832057953,0.07725593447685242,0.01765083335340023,0.01148938201367855,0.11977186799049377,0.020055610686540604,0.007471664343029261,0.017881963402032852,0.008428910747170448,0.006322970613837242,0.00513814901933074,0.021284935995936394,0.039560191333293915,0.029821278527379036,0.0527464933693409,0.09508757293224335,0.0779186338186264,0.00764389056712389,0.0156412236392498,0.0030212660785764456,0.007789940573275089,0.004537549801170826,0.006266429554671049,0.007296309806406498
C,0.00309378607198596,0.005248394329100847,0.6459416747093201,0.006526515819132328,0.05982810631394386,0.022674959152936935,0.1030336320400238,0.0026127840392291546,0.009313808754086494,0.003412575228139758,0.0060789985582232475,0.020303208380937576,0.0006083915941417217,0.0035632182843983173,0.021862924098968506,0.011070151813328266,0.016867414116859436,0.014656235463917255,0.009609448723495007,0.010142097249627113,0.005037010181695223,0.0028277907986193895,0.0009517808794043958,0.002211695071309805,0.00358377443626523,0.008939646184444427
D,0.0049290102906525135,0.05139289051294327,0.012593292631208897,0.5916134119033813,0.004266400821506977,0.004528195597231388,0.03709739074110985,0.005652569234371185,0.003931605722755194,0.03492707759141922,0.002496109576895833,0.0046836938709020615,0.0019593103788793087,0.006898244842886925,0.059511005878448486,0.049686968326568604,0.03483026847243309,0.0245075523853302,0.02011488936841488,0.0031634103506803513,0.023540908470749855,0.002761157462373376,0.0054421802051365376,0.001626057899557054,0.003521612612530589,0.00432475795969367
E,0.006170693784952164,0.036801401525735855,0.05495119094848633,0.004702331498265266,0.29995009303092957,0.16010069847106934,0.04450727626681328,0.018442898988723755,0.046947166323661804,0.011798053979873657,0.02752620540559292,0.034990232437849045,0.002243791474029422,0.011893547140061855,0.0073873321525752544,0.043078403919935226,0.009661320596933365,0.06028461456298828,0.023016205057501793,0.040636446326971054,0.007827125489711761,0.004905696492642164,0.003289480460807681,0.0061997645534574986,0.010705200023949146,0.021982844918966293
F,0.009762242436408997,0.01659366860985756,0.013324951753020287,0.006871094461530447,0.06032779812812805,0.3513101041316986,0.015112418681383133,0.031382448971271515,0.04734983667731285,0.015803171321749687,0.018964968621730804,0.014945164322853088,0.006743898149579763,0.01381972711533308,0.005506411660462618,0.18872106075286865,0.004338613711297512,0.06915336847305298,0.010246765799820423,0.0503118671476841,0.009003604762256145,0.005338805261999369,0.004767667502164841,0.0035894846078008413,0.01223592646420002,0.014474935829639435
G,0.01003178022801876,0.03242155909538269,0.06682752817869186,0.021357612684369087,0.018784692510962486,0.006194260902702808,0.5371983051300049,0.006675868760794401,0.004987884778529406,0.0050647263415157795,0.00476621650159359,0.0065255919471383095,0.0013411932159215212,0.007703302428126335,0.06270311027765274,0.009789119474589825,0.10091382265090942,0.037672579288482666,0.030950438231229782,0.00496981106698513,0.011009794659912586,0.0024938585702329874,0.003106143558397889,0.001490939175710082,0.0017011233139783144,0.0033187700901180506
H,0.01586892642080784,0.022128857672214508,0.002597244456410408,0.007642928510904312,0.007017215248197317,0.011864734813570976,0.008921840228140354,0.36019912362098694,0.028292318806052208,0.026217684149742126,0.03260379657149315,0.011727437376976013,0.10502401739358902,0.10388103127479553,0.007978864945471287,0.021041788160800934,0.007794552017003298,0.0781215950846672,0.00835331715643406,0.01918884739279747,0.017801444977521896,0.006729387678205967,0.05080309882760048,0.014619865454733372,0.018508680164813995,0.005071395542472601
I,0.007896377705037594,0.006700754631310701,0.010370921343564987,0.0047826324589550495,0.012776780873537064,0.025032727047801018,0.008541189134120941,0.014025874435901642,0.517910897731781,0.09671977907419205,0.010388628579676151,0.06303528696298599,0.00405513821169734,0.009072937071323395,0.006058785133063793,0.012399502098560333,0.004195193760097027,0.011789419688284397,0.009074263274669647,0.08842214941978455,0.013173036277294159,0.009468626230955124,0.005209594964981079,0.009868986904621124,0.01907038874924183,0.019960062578320503
J,0.012684216722846031,0.004226989578455687,0.002555614337325096,0.010546136647462845,0.002314126119017601,0.0069700609892606735,0.004058070946484804,0.021596422418951988,0.10376201570034027,0.5973334312438965,0.011920030228793621,0.026612265035510063,0.005012627225369215,0.01186762098222971,0.0045042443089187145,0.007073014974594116,0.0023780211340636015,0.005923053249716759,0.005417593289166689,0.024211501702666283,0.03972003608942032,0.011872291564941406,0.012994055636227131,0.009121359325945377,0.02321455627679825,0.03211064264178276
K,0.006006672978401184,0.002935728058218956,0.009160412475466728,0.0014383025700226426,0.013275107368826866,0.026788150891661644,0.006399764679372311,0.018119512125849724,0.01751919463276863,0.01213298924267292,0.34888955950737,0.014178341254591942,0.015564506873488426,0.027248451486229897,0.002157917944714427,0.01955479569733143,0.002502103103324771,0.05825289338827133,0.004790876526385546,0.022014200687408447,0.006364705041050911,0.02263805642724037,0.022404976189136505,0.16437192261219025,0.1079736277461052,0.04731728136539459
